iter	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false
311	0.4683570807	0.8988289471	0.779494382
312	0.4678731388	0.8988289471	0.779494382
313	0.4673617888	0.8988289471	0.779494382
314	0.4668320159	0.8988289471	0.779494382
315	0.4664283131	0.8988289471	0.779494382
316	0.4659818817	0.8988289471	0.779494382
317	0.4654660295	0.8988289471	0.779494382
318	0.4649719174	0.8988289471	0.779494382
319	0.4644870442	0.8988289471	0.779494382
320	0.4640584037	0.8988289471	0.779494382
321	0.4635790095	0.8988289471	0.779494382
322	0.4631126494	0.8988289471	0.779494382
323	0.4626027555	0.8988289471	0.779494382
324	0.462217187	0.8988289471	0.779494382
325	0.4617715663	0.8988289471	0.779494382
326	0.4612996773	0.8988289471	0.779494382
327	0.460878581	0.8988289471	0.779494382
328	0.4603790396	0.8988289471	0.779494382
329	0.4599242829	0.8988289471	0.779494382
330	0.4594575219	0.8988289471	0.779494382
331	0.45901679	0.8988289471	0.779494382
332	0.4585648844	0.8988289471	0.779494382
333	0.4581916575	0.8988289471	0.779494382
334	0.4577106861	0.8988289471	0.779494382
335	0.4572763568	0.8988289471	0.779494382
336	0.4568633406	0.8988289471	0.779494382
337	0.4564426417	0.8988289471	0.779494382
338	0.4559871879	0.8988289471	0.779494382
339	0.4556238294	0.8988289471	0.779494382
340	0.4552137567	0.8988289471	0.779494382
341	0.4547946565	0.8988289471	0.779494382
342	0.4543503178	0.8988289471	0.779494382
343	0.4538684216	0.8988289471	0.779494382
344	0.4533825398	0.8988289471	0.779494382
345	0.4529792703	0.8988289471	0.779494382
346	0.4525215928	0.8988289471	0.779494382
347	0.4520728952	0.8988289471	0.779494382
348	0.4516887378	0.8988289471	0.779494382
349	0.4512282565	0.8988289471	0.779494382
350	0.4508128254	0.8988289471	0.779494382
351	0.4504010279	0.8988289471	0.779494382
352	0.4499401127	0.8988289471	0.779494382
353	0.4494615895	0.8988289471	0.779494382
354	0.448988741	0.8988289471	0.779494382
355	0.4485600935	0.8988289471	0.779494382
356	0.4481083986	0.8988289471	0.779494382
357	0.447663145	0.8988289471	0.779494382
358	0.4472078589	0.8988289471	0.779494382
359	0.4467839104	0.8988289471	0.779494382
360	0.4463477772	0.8988289471	0.779494382
361	0.4459445965	0.8988289471	0.779494382
362	0.4455242038	0.8988289471	0.779494382
363	0.4451421153	0.8988289471	0.779494382
364	0.4447139602	0.8988289471	0.779494382
365	0.4442671731	0.8988289471	0.779494382
366	0.4438757333	0.8988289471	0.779494382
367	0.4434598374	0.8988289471	0.779494382
368	0.4430150059	0.8988289471	0.779494382
369	0.4425464725	0.8988289471	0.779494382
370	0.4420994621	0.8988289471	0.779494382
371	0.4416756891	0.8988289471	0.779494382
372	0.4412451035	0.8988289471	0.779494382
373	0.4408732973	0.8988289471	0.779494382
374	0.4404535789	0.8988289471	0.779494382
375	0.4399965778	0.8988289471	0.779494382
376	0.4395769235	0.8988289471	0.779494382
377	0.4391355324	0.8988289471	0.779494382
378	0.4386971611	0.8988289471	0.779494382
379	0.4382822324	0.8988289471	0.779494382
380	0.4380414548	0.8988289471	0.779494382
381	0.4376010058	0.8988289471	0.779494382
382	0.4372402906	0.8988289471	0.779494382
383	0.4368504728	0.8988289471	0.779494382
384	0.4364269259	0.8988289471	0.779494382
385	0.4360076847	0.8988289471	0.779494382
386	0.4355767836	0.8988289471	0.779494382
387	0.4352270504	0.8988289471	0.779494382
388	0.4348179525	0.8988289471	0.779494382
389	0.434434671	0.8988289471	0.779494382
390	0.433992994	0.8988289471	0.779494382
391	0.4335695716	0.8988289471	0.779494382
392	0.4331598154	0.8988289471	0.779494382
393	0.4327693787	0.8988289471	0.779494382
394	0.432404586	0.8988289471	0.779494382
395	0.4319893605	0.8988289471	0.779494382
396	0.4315885904	0.8988289471	0.779494382
397	0.4311884786	0.8988289471	0.779494382
398	0.4308158016	0.8988289471	0.779494382
399	0.4303953434	0.8988289471	0.779494382
400	0.430005718	0.8988289471	0.779494382
401	0.4296309644	0.8988289471	0.779494382
402	0.4292739425	0.8988289471	0.779494382
403	0.4289358503	0.8988289471	0.779494382
404	0.4285531924	0.8988289471	0.779494382
405	0.4282223485	0.8988289471	0.779494382
406	0.4278881211	0.8988289471	0.779494382
407	0.4274943709	0.8988289471	0.779494382
408	0.4271510541	0.8988289471	0.779494382
409	0.4267655446	0.8988289471	0.779494382
410	0.426346974	0.8988289471	0.779494382
411	0.4259799889	0.8988289471	0.779494382
412	0.4255820936	0.8988289471	0.779494382
413	0.4251790115	0.8988289471	0.779494382
414	0.4247907457	0.8988289471	0.779494382
415	0.4244065614	0.8988289471	0.779494382
416	0.4240420586	0.8988289471	0.779494382
417	0.4236921823	0.8988289471	0.779494382
418	0.4232844811	0.8988289471	0.779494382
419	0.4228807692	0.8988289471	0.779494382
420	0.4225363259	0.8988289471	0.779494382
421	0.4221428974	0.8988289471	0.779494382
422	0.4218167926	0.8988289471	0.779494382
423	0.4214838356	0.8988289471	0.779494382
424	0.4211422134	0.8988289471	0.779494382
425	0.4207613747	0.8988289471	0.779494382
426	0.4203564017	0.8988289471	0.779494382
427	0.4199459826	0.8988289471	0.779494382
428	0.4195564376	0.8988289471	0.779494382
429	0.4191980851	0.8988289471	0.779494382
430	0.4188200113	0.8988289471	0.779494382
431	0.4184275814	0.8988289471	0.779494382
432	0.4180887091	0.8988289471	0.779494382
433	0.4177310064	0.8988289471	0.779494382
434	0.4173855422	0.8988289471	0.779494382
435	0.4170247996	0.8988289471	0.779494382
436	0.4166307955	0.8988289471	0.779494382
437	0.4162607129	0.8988289471	0.779494382
438	0.4159062849	0.8988289471	0.779494382
439	0.4155369465	0.8988289471	0.779494382
440	0.4151763233	0.8988289471	0.779494382
441	0.4147843306	0.8988289471	0.779494382
442	0.414416853	0.8988289471	0.779494382
443	0.4140787386	0.8988289471	0.779494382
444	0.4137758404	0.8988289471	0.779494382
445	0.4134896326	0.8988289471	0.779494382
446	0.4131956172	0.8988289471	0.779494382
447	0.4128592403	0.8988289471	0.779494382
448	0.4124981009	0.8988289471	0.779494382
449	0.412178009	0.8988289471	0.779494382
450	0.4118473512	0.8988289471	0.779494382
451	0.4114857911	0.8988289471	0.779494382
452	0.4111279419	0.8988289471	0.779494382
453	0.410803013	0.8988289471	0.779494382
454	0.4104519477	0.8988289471	0.779494382
455	0.4101044908	0.8988289471	0.779494382
456	0.4097756192	0.8988289471	0.779494382
457	0.4094367472	0.8988289471	0.779494382
458	0.409104374	0.8988289471	0.779494382
459	0.4087659229	0.8988289471	0.779494382
460	0.4084409797	0.8988289471	0.779494382
461	0.4080910713	0.8988289471	0.779494382
462	0.4077353939	0.8988289471	0.779494382
463	0.4074057677	0.8988289471	0.779494382
464	0.4070576145	0.8988289471	0.779494382
465	0.4067108589	0.8988289471	0.779494382
466	0.4064211427	0.8988289471	0.779494382
467	0.4061005062	0.8988289471	0.779494382
468	0.4058123104	0.8988289471	0.779494382
469	0.4054560851	0.8988289471	0.779494382
470	0.405175928	0.8988289471	0.779494382
471	0.4048844772	0.8988289471	0.779494382
472	0.4045422964	0.8988289471	0.779494382
473	0.4042149073	0.8988289471	0.779494382
474	0.4038637468	0.8988289471	0.779494382
